Lapangan Usaha,Laju pertumbuhan ekonomi
"Jasa Perusahaan,""9,24"""
"Penyediaan Akomodasi dan Makan,""8,06"""
"Jasa Lainnya,""7,92"""
"Informasi dan Komunikasi,""7,56"""
"Transportasi dan Pergudangan,""7,33"""
"Jasa Kesehatan dan Kegiatan Sosial,""6,48"""
"Jasa Pendidikan,""6,12"""
"Industri Pengolahan,""5,98"""
"Pengadaan listrik dan gas,""5,1"""
"Pertanian, Kehutanan, dan Perikanan,""4,98"""
"Konstruksi,""4,59"""
"Perdagangan Besar dan Eceran; Reparasi 
 dan Perawatan Mobil dan Sepeda Motor,""3,99"""
"Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang,""3,55"""
"Real Estat,""3,36"""
"Jasa Keuangan dan Asuransi,""2,24"""
"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib,""2,1"""
"Pertambangan dan Penggalian,""1,5"""
