No,Kabupaten/Kota,2018,2019,2020,2021,2022,2023,2024,2025
1,Kabupaten Bangkalan,"4,22","1,03","-5,59","-2,07","5,34","4,95","4,93","4,53"
2,Kabupaten Banyuwangi,"5,84","5,55","-3,58","4,09","-1,12","1,2","1,94","5,65"
3,Kabupaten Blitar,"5,1","5,12","-2,29","3,02","4,43","5,03","4,68","5,06"
4,Kabupaten Bojonegoro,"4,39","6,34","-0,4","-5,54","5,2","4,45","4,44","5,32"
5,Kabupaten Bondowoso,"5,08","5,3","-1,36","3,49","-6,16","2,47","1,67","5,32"
6,Kabupaten Gresik,"5,81","5,42","-3,68","3,79","3,51","4,62","4,87","4,91"
7,Kabupaten Jember,"5,02","5,51","-2,98",4,"7,38","4,62","4,79","5,47"
8,Kabupaten Jombang,"5,29","5,1","-1,98","3,24","4,53","4,93","4,86","5,34"
9,Kabupaten Kediri,"5,07","5,06","-2,41","3,06","5,37","5,04","5,15","5,03"
10,Kabupaten Lamongan,"5,44","5,43","-2,65","3,43","4,9","4,53","4,95","5,4"
11,Kabupaten Lumajang,5,"4,61","-2,79","3,14","5,56","4,28","4,81","5,35"
12,Kabupaten Madiun,"5,1","5,42","-0,12","3,32","4,43",5,"4,52","5,33"
13,Kabupaten Magetan,"5,21","5,04","-1,64","3,04","4,32","5,12","4,68","5,41"
14,Kabupaten Malang,"5,55","5,49","-2,68","3,12","3,89","4,47","4,79","5,92"
15,Kabupaten Mojokerto,"5,88","5,81","-1,11","4,12","5,13",5,"4,96","5,56"
16,Kabupaten Nganjuk,"5,38","5,36","-1,71","3,61","5,82","5,15","5,29","5,3"
17,Kabupaten Ngawi,"5,21","5,05","-1,69","2,55","4,84","5,4","4,93","5,31"
18,Kabupaten Pacitan,"5,47","5,08","-1,84","2,49","3,19","4,49","4,64","6,35"
19,Kabupaten Pamekasan,"5,46","4,92","-2,54","3,41","5,54","4,46","4,34","5,47"
20,Kabupaten Pasuruan,"5,73","5,83","-2,03","4,34","4,66","4,96","4,88","5,66"
21,Kabupaten Ponorogo,"5,27","5,01","-0,9","3,19","5,32","5,21","5,34","5,37"
22,Kabupaten Probolinggo,"4,47","4,56","-2,12","3,35","3,24","5,14","4,74","5,34"
23,Kabupaten Sidoarjo,"6,01","5,99","-3,69","4,21","4,52","4,73","4,82","5,63"
24,Kabupaten Situbondo,"5,46","5,44","-2,33","3,26","7,53","6,16","5,54","5,28"
25,Kabupaten Sumenep,"3,63","0,14","-1,13","2,61","4,39","4,9","4,81","4,85"
26,Kabupaten Trenggalek,"5,03","5,08","-2,17","3,65","3,11","5,35","3,77","5,31"
27,Kabupaten Tuban,"5,15","5,14","-5,85",3,"4,52","4,92","4,71","4,23"
28,Kabupaten Tulungagung,"5,21","5,32","-3,09","3,53","8,88","4,37","3,86","5,75"
29,Kota Batu,"6,5","6,51","-6,46","4,04","5,22","4,91","4,86","4,85"
30,Kota Blitar,"5,82","5,84","-2,28","4,28","6,18","6,2","5,04","5,31"
31,Kota Kediri,"5,43","5,47","-6,25","2,5","5,22","5,29","5,33","1,74"
32,Kota Madiun,"5,96","5,69","-5,34","4,79","3,96","1,92","3,43","5,69"
33,Kota Malang,"5,72","5,73","-2,26","4,21","5,52","5,8","5,73","5,92"
34,Kota Mojokerto,"5,8","5,65","-3,69","3,65","6,32","6,07","5,41","5,69"
35,Kota Pasuruan,"5,54","5,56","-4,33","3,64","5,56","2,79","5,32","5,52"
36,Kota Probolinggo,"5,93","5,94","-3,64","4,06","6,22","5,65","5,45","5,68"
37,Kota Surabaya,"6,19","6,09","-4,85","4,29","6,12","6,04","5,15","5,87"
38,Jawa Timur,"5,47","5,53","-2,33","3,56","6,51","5,7","5,76","5,33"
